Change ID,Owner,Created,Updated,Link,Branch,Project,Status,#Comments,Approvers,Verifiers,AssignedReviewers,CodeReviewers,RealReviews,SelfReview,#PatchSets,#FilesInPatch,InlineComments,Addfiles,ModFiles,DelFiles,RenamedFile,DeleteLOC,AddLOC
1241,1000330,2008.10.23 17:26,2008.12.3 16:11,https://android-review.googlesource.com/1241,refs/heads/master,platform/frameworks/base,Merged,4,1,1,3,3,3,FALSE,1,2,1,0,2,0,0,0,30
1248,1000701,2008.10.24 1:13,2008.10.24 1:14,https://android-review.googlesource.com/1248,refs/heads/master,platform/build,Merged,1,0,0,0,0,0,FALSE,1,1,0,0,1,0,0,1,1
1435,1001286,2008.10.24 1:35,2008.10.24 3:05,https://android-review.googlesource.com/1435,refs/heads/master,platform/vendor/htc/dream-open,Merged,2,0,0,1,1,1,FALSE,1,1,0,0,1,0,0,0,4
1251,1000701,2008.10.24 2:52,2010.7.13 15:32,https://android-review.googlesource.com/1251,refs/heads/master,platform/build,Merged,4,1,0,1,1,1,FALSE,1,1,2,1,0,0,0,0,947
1254,1001286,2008.10.24 3:04,2008.10.24 3:07,https://android-review.googlesource.com/1254,refs/heads/master,platform/vendor/htc/dream-open,Merged,2,0,0,1,1,1,FALSE,1,1,0,0,1,0,0,0,5
1255,1001286,2008.10.24 3:04,2008.10.24 3:10,https://android-review.googlesource.com/1255,refs/heads/master,platform/vendor/htc/dream-open,Merged,2,0,0,1,1,1,FALSE,1,3,0,2,1,0,0,0,10
1442,1000678,2008.10.24 3:51,2008.10.24 3:52,https://android-review.googlesource.com/1442,refs/heads/master,platform/build,Merged,2,1,0,1,1,1,FALSE,1,1,0,0,1,0,0,4,4
1261,1000387,2008.10.24 15:58,2008.10.24 16:12,https://android-review.googlesource.com/1261,refs/heads/master,platform/external/opencore,Merged,1,0,0,0,0,0,FALSE,1,6,0,6,0,0,0,0,54
1454,1000660,2008.10.24 18:56,2008.10.25 18:20,https://android-review.googlesource.com/1454,refs/heads/master,platform/build,Abandoned,5,1,1,2,2,2,FALSE,1,1,0,0,1,0,0,2,2
1275,1000660,2008.10.24 18:56,2008.10.25 17:22,https://android-review.googlesource.com/1275,refs/heads/master,platform/frameworks/base,Merged,4,1,1,2,2,2,FALSE,1,1,0,0,1,0,0,2,3
1276,1000234,2008.10.24 20:12,2008.12.3 16:11,https://android-review.googlesource.com/1276,refs/heads/master,platform/bionic,Merged,7,1,0,2,1,1,FALSE,1,2,3,0,2,0,0,1,67
1456,1000234,2008.10.24 20:12,2008.10.28 23:24,https://android-review.googlesource.com/1456,refs/heads/master,platform/external/oprofile,Merged,4,0,0,2,0,0,FALSE,1,58,0,12,46,0,0,453,2486
1277,1000234,2008.10.24 20:12,2008.10.28 6:46,https://android-review.googlesource.com/1277,refs/heads/master,platform/external/oprofile,Merged,2,0,0,0,0,0,FALSE,1,3,0,0,0,3,0,128,0
1459,1000387,2008.10.25 0:33,2008.10.25 0:41,https://android-review.googlesource.com/1459,refs/heads/master,platform/packages/apps/Camera,Merged,3,1,1,1,1,1,FALSE,1,1,0,0,0,1,0,145,0
1355,1001286,2008.10.25 5:50,2008.10.25 6:18,https://android-review.googlesource.com/1355,refs/heads/master,platform/build,Merged,3,1,1,1,1,1,FALSE,1,2,0,0,2,0,0,4,14
1524,1000678,2008.10.25 17:44,2008.10.31 23:33,https://android-review.googlesource.com/1524,refs/heads/master,platform/build,Abandoned,5,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,0,0
1525,1000678,2008.10.25 18:08,2008.10.25 18:16,https://android-review.googlesource.com/1525,refs/heads/master,platform/build,Merged,1,0,0,0,0,0,FALSE,1,1,0,0,1,0,0,2,2
1527,1000728,2008.10.26 20:39,2009.3.4 21:45,https://android-review.googlesource.com/1527,refs/heads/master,platform/frameworks/base,Abandoned,3,1,0,2,1,1,FALSE,1,1,2,0,1,0,0,4,8
1360,1000014,2008.10.27 3:40,2008.12.3 16:11,https://android-review.googlesource.com/1360,refs/heads/master,platform/packages/apps/Calculator,Abandoned,2,0,0,1,1,1,FALSE,1,2,1,0,2,0,0,3,12
1362,1000653,2008.10.27 6:23,2008.12.3 16:11,https://android-review.googlesource.com/1362,refs/heads/master,platform/packages/apps/Email,Abandoned,2,1,0,1,1,1,FALSE,1,1,2,0,1,0,0,4,7
1535,1000495,2008.10.27 17:23,2009.3.4 20:07,https://android-review.googlesource.com/1535,refs/heads/master,platform/frameworks/base,Merged,7,1,1,3,1,1,FALSE,2,1,0,0,1,0,0,0,4
1539,1000653,2008.10.27 22:27,2008.10.28 2:31,https://android-review.googlesource.com/1539,refs/heads/master,platform/packages/apps/Email,Merged,2,1,1,1,1,1,FALSE,1,1,0,0,1,0,0,2,5
1540,1001286,2008.10.27 23:26,2008.10.28 0:24,https://android-review.googlesource.com/1540,refs/heads/master,platform/system/wlan/ti,Merged,3,1,0,1,1,1,FALSE,1,1,0,0,1,0,0,2,2
1371,1001286,2008.10.27 23:26,2008.10.28 0:49,https://android-review.googlesource.com/1371,refs/heads/master,platform/system/wlan/ti,Merged,2,1,0,1,1,1,FALSE,1,1,0,1,0,0,0,0,9
1376,1000728,2008.10.28 9:50,2008.10.29 1:12,https://android-review.googlesource.com/1376,refs/heads/master,platform/external/qemu,Merged,2,1,1,1,1,1,FALSE,1,1,0,0,1,0,0,0,2
1547,1000947,2008.10.28 17:52,2008.10.29 20:52,https://android-review.googlesource.com/1547,refs/heads/master,platform/packages/apps/AlarmClock,Abandoned,5,0,0,1,0,0,FALSE,1,6,0,0,6,0,0,24,154
1550,1000980,2008.10.28 18:41,2008.10.29 0:52,https://android-review.googlesource.com/1550,refs/heads/master,platform/build,Merged,3,1,1,1,1,1,FALSE,1,1,0,0,1,0,0,1,1
1552,1000728,2008.10.28 18:51,2009.11.8 21:31,https://android-review.googlesource.com/1552,refs/heads/master,platform/frameworks/base,Abandoned,8,0,1,6,4,5,FALSE,1,1,0,0,1,0,0,4,9
1557,1001100,2008.10.28 22:07,2008.10.28 23:41,https://android-review.googlesource.com/1557,refs/heads/master,platform/frameworks/base,Merged,2,1,1,1,1,1,FALSE,1,1,0,0,1,0,0,1,1
1387,1000660,2008.10.29 0:37,2008.11.2 5:46,https://android-review.googlesource.com/1387,refs/heads/master,platform/external/oprofile,Abandoned,3,1,0,1,1,1,FALSE,1,59,0,1,46,10,2,2442,537
1568,1000660,2008.10.29 17:17,2008.11.4 3:33,https://android-review.googlesource.com/1568,refs/heads/master,platform/build,Abandoned,4,1,0,2,1,1,FALSE,1,1,0,0,1,0,0,0,2
1569,1001211,2008.10.29 17:19,2008.10.29 22:47,https://android-review.googlesource.com/1569,refs/heads/master,platform/external/opencore,Merged,2,0,0,0,0,0,FALSE,1,1,0,1,0,0,0,0,63
1581,1000866,2008.10.29 23:07,2008.11.1 2:46,https://android-review.googlesource.com/1581,refs/heads/master,platform/bionic,Abandoned,4,0,0,1,0,0,FALSE,1,1,0,1,0,0,0,0,79
1606,1000866,2008.10.29 23:08,2008.10.30 0:47,https://android-review.googlesource.com/1606,refs/heads/master,platform/hardware/libhardware,Merged,2,1,1,1,1,1,FALSE,1,1,0,1,0,0,0,0,72
1608,1000866,2008.10.29 23:09,2008.10.30 0:49,https://android-review.googlesource.com/1608,refs/heads/master,platform/system/core,Merged,2,1,1,1,1,1,FALSE,1,1,0,0,1,0,0,0,1
1584,1000866,2008.10.29 23:16,2008.10.30 4:12,https://android-review.googlesource.com/1584,refs/heads/master,platform/vendor/htc/dream-open,Merged,2,1,1,1,1,1,FALSE,1,3,0,0,3,0,0,1,3
1624,1000237,2008.10.30 15:42,2008.12.3 16:11,https://android-review.googlesource.com/1624,refs/heads/master,platform/build,Abandoned,6,0,0,3,1,1,FALSE,1,2,9,0,2,0,0,10,98
1626,1000237,2008.10.30 15:51,2008.12.3 16:11,https://android-review.googlesource.com/1626,refs/heads/master,platform/system/core,Abandoned,4,0,0,2,1,1,FALSE,1,2,2,1,1,0,0,0,119
1646,1000866,2008.10.30 22:06,2008.11.1 2:46,https://android-review.googlesource.com/1646,refs/heads/android-msm-htc-2.6.25,kernel/msm,Abandoned,2,0,0,1,0,0,FALSE,1,6,0,1,5,0,0,1,426
1647,1000830,2008.10.30 22:06,2008.10.30 22:35,https://android-review.googlesource.com/1647,refs/heads/android-2.6.25,kernel/common,Merged,2,1,1,1,1,1,FALSE,1,3,0,1,2,0,0,0,950
1815,1001286,2008.10.30 22:50,2008.10.30 22:50,https://android-review.googlesource.com/1815,refs/heads/master,platform/bionic,Merged,1,0,0,0,0,0,FALSE,1,1,0,1,0,0,0,0,79
1649,1001051,2008.10.30 23:17,2008.10.31 0:55,https://android-review.googlesource.com/1649,refs/heads/master,platform/external/opencore,Merged,3,1,1,1,1,1,FALSE,1,1,0,0,1,0,0,5,0
1650,1000973,2008.10.31 9:24,2008.10.31 23:12,https://android-review.googlesource.com/1650,refs/heads/master,platform/frameworks/base,Merged,3,1,1,2,2,2,FALSE,1,1,0,0,1,0,0,3,3
1655,1000880,2008.10.31 21:31,2009.11.8 21:08,https://android-review.googlesource.com/1655,refs/heads/master,platform/build,Abandoned,5,0,1,4,1,2,FALSE,1,4,1,0,4,0,0,21,28
1656,1000880,2008.10.31 21:31,2009.11.8 21:09,https://android-review.googlesource.com/1656,refs/heads/master,platform/build,Abandoned,2,0,1,2,0,1,FALSE,1,2,0,0,2,0,0,8,11
1822,1000880,2008.10.31 21:31,2009.11.8 21:09,https://android-review.googlesource.com/1822,refs/heads/master,platform/build,Abandoned,2,0,1,2,0,1,FALSE,1,1,0,0,1,0,0,0,2
1658,1000237,2008.10.31 22:35,2008.12.3 16:11,https://android-review.googlesource.com/1658,refs/heads/master,platform/build,Abandoned,5,0,0,2,1,1,FALSE,1,1,1,0,1,0,0,9,84
1661,1000237,2008.10.31 23:16,2008.10.31 23:33,https://android-review.googlesource.com/1661,refs/heads/master,platform/build,Merged,3,1,1,1,1,1,FALSE,1,1,0,0,1,0,0,9,84
1663,1000237,2008.11.1 1:07,2009.4.6 22:55,https://android-review.googlesource.com/1663,refs/heads/master,platform/system/core,Abandoned,4,0,0,2,0,0,FALSE,1,2,1,1,1,0,0,0,119
1667,1000830,2008.11.1 19:36,2008.11.2 5:47,https://android-review.googlesource.com/1667,refs/heads/master,platform/system/core,Merged,2,1,1,1,1,1,FALSE,1,1,0,0,1,0,0,0,7
1673,1001191,2008.11.2 1:46,2009.4.20 18:11,https://android-review.googlesource.com/1673,refs/heads/master,platform/bionic,Abandoned,3,0,0,2,1,1,FALSE,1,15,10,3,12,0,0,15,271
1838,1001191,2008.11.2 1:46,2008.11.2 3:09,https://android-review.googlesource.com/1838,refs/heads/master,platform/build,Abandoned,1,1,0,1,1,1,FALSE,1,18,0,15,3,0,0,93,2109
1839,1001191,2008.11.2 1:46,2009.4.20 18:11,https://android-review.googlesource.com/1839,refs/heads/master,platform/dalvik,Abandoned,3,0,0,1,0,0,FALSE,1,17,4,0,17,0,0,16,232
1677,1001191,2008.11.2 1:46,2008.11.4 15:19,https://android-review.googlesource.com/1677,refs/heads/master,platform/external/elfcopy,Abandoned,1,0,0,1,1,1,FALSE,1,1,0,0,1,0,0,6,1
1678,1001191,2008.11.2 1:47,2008.12.3 16:11,https://android-review.googlesource.com/1678,refs/heads/master,platform/external/opencore,Abandoned,3,1,0,2,2,2,FALSE,1,9,2,0,9,0,0,8,14
1840,1001191,2008.11.2 1:47,2009.4.20 18:13,https://android-review.googlesource.com/1840,refs/heads/master,platform/external/skia,Abandoned,3,0,0,2,0,0,FALSE,1,1,0,0,1,0,0,1,1
1680,1001191,2008.11.2 1:47,2008.11.2 3:37,https://android-review.googlesource.com/1680,refs/heads/master,platform/external/sonivox,Abandoned,1,1,0,1,1,1,FALSE,1,5,0,0,5,0,0,19,84
1683,1001191,2008.11.2 1:47,2009.3.4 21:30,https://android-review.googlesource.com/1683,refs/heads/master,platform/external/srec,Merged,4,1,1,2,1,1,FALSE,2,2,0,0,2,0,0,4,4
1843,1001191,2008.11.2 1:47,2008.12.3 16:11,https://android-review.googlesource.com/1843,refs/heads/master,platform/frameworks/base,Abandoned,8,1,0,7,4,4,FALSE,1,21,29,0,21,0,0,130,200
1844,1001191,2008.11.2 1:47,2009.3.14 17:08,https://android-review.googlesource.com/1844,refs/heads/master,platform/hardware/libhardware,Abandoned,3,0,0,2,0,0,FALSE,1,10,6,3,7,0,0,32,526
1684,1001191,2008.11.2 1:47,2008.12.3 16:11,https://android-review.googlesource.com/1684,refs/heads/master,platform/system/core,Abandoned,4,0,0,4,3,3,FALSE,1,10,20,0,10,0,0,27,247
1845,1000495,2008.11.2 1:51,2008.11.3 21:31,https://android-review.googlesource.com/1845,refs/heads/master,platform/frameworks/base,Merged,4,1,1,2,1,1,FALSE,1,2,0,0,2,0,0,3,2
1847,1000495,2008.11.2 1:59,2008.11.3 21:33,https://android-review.googlesource.com/1847,refs/heads/master,platform/packages/apps/Contacts,Merged,2,1,1,1,1,1,FALSE,1,1,0,0,1,0,0,1,1
1848,1000495,2008.11.2 3:02,2009.8.25 19:37,https://android-review.googlesource.com/1848,refs/heads/master,platform/packages/apps/Contacts,Abandoned,4,1,1,2,2,2,FALSE,1,1,0,0,1,0,0,0,10
1853,1000663,2008.11.2 7:34,2009.3.4 19:53,https://android-review.googlesource.com/1853,refs/heads/master,platform/frameworks/base,Abandoned,3,1,0,2,2,2,FALSE,1,1,0,0,1,0,0,2,3
1856,1000663,2008.11.2 7:53,2009.8.25 20:07,https://android-review.googlesource.com/1856,refs/heads/master,platform/development,Abandoned,3,0,0,2,1,1,FALSE,1,1,1,0,1,0,0,1,1
1692,1001302,2008.11.2 17:42,2009.8.25 15:22,https://android-review.googlesource.com/1692,refs/heads/master,platform/build,Abandoned,9,0,0,3,0,0,FALSE,1,11,9,2,9,0,0,12,89
1860,1001302,2008.11.2 17:42,2009.8.25 15:11,https://android-review.googlesource.com/1860,refs/heads/master,platform/dalvik,Abandoned,6,0,0,3,1,1,FALSE,1,1,2,0,1,0,0,2,13
1694,1001302,2008.11.2 17:42,2008.11.3 13:38,https://android-review.googlesource.com/1694,refs/heads/master,platform/frameworks/base,Abandoned,1,0,0,1,1,1,FALSE,1,2,0,0,2,0,0,2,11
1861,1001302,2008.11.2 17:42,2008.11.4 3:52,https://android-review.googlesource.com/1861,refs/heads/master,platform/system/core,Merged,3,1,1,2,2,2,FALSE,1,1,0,1,0,0,0,0,296
1696,1001240,2008.11.3 17:05,2008.11.3 17:08,https://android-review.googlesource.com/1696,refs/heads/cdma-import,platform/manifest,Merged,1,0,0,0,0,0,FALSE,1,1,0,0,1,0,0,7,7
1704,1001302,2008.11.3 21:03,2009.8.25 14:22,https://android-review.googlesource.com/1704,refs/heads/master,platform/frameworks/base,Abandoned,6,0,0,1,0,0,FALSE,1,5,3,1,4,0,0,8,61
1716,1000392,2008.11.3 23:55,2008.11.4 0:45,https://android-review.googlesource.com/1716,refs/heads/master,platform/build,Merged,2,0,0,0,0,0,FALSE,1,1,0,0,1,0,0,4,8
1723,1001332,2008.11.4 2:42,2008.11.4 20:46,https://android-review.googlesource.com/1723,refs/heads/master,platform/frameworks/base,Merged,5,1,1,3,3,3,FALSE,1,1,0,0,1,0,0,0,1
1886,1000866,2008.11.4 6:07,2008.11.5 0:19,https://android-review.googlesource.com/1886,refs/heads/msm-2.6.25,kernel/msm,Merged,2,1,0,1,1,1,FALSE,1,4,0,1,3,0,0,1,367
1729,1000866,2008.11.4 6:07,2008.11.5 0:19,https://android-review.googlesource.com/1729,refs/heads/msm-2.6.25,kernel/msm,Merged,3,1,0,1,1,1,FALSE,1,1,0,0,1,0,0,0,24
1889,1000866,2008.11.4 6:08,2008.11.5 22:30,https://android-review.googlesource.com/1889,refs/heads/master,platform/bionic,Abandoned,4,1,0,2,2,2,FALSE,1,1,0,1,0,0,0,0,81
1730,1000866,2008.11.4 6:12,2008.11.5 0:27,https://android-review.googlesource.com/1730,refs/heads/master,platform/hardware/msm7k,Merged,3,1,0,1,1,1,FALSE,1,2,0,0,2,0,0,53,38
1742,1001302,2008.11.4 21:55,2009.8.25 15:23,https://android-review.googlesource.com/1742,refs/heads/master,platform/build,Abandoned,4,0,1,2,1,1,FALSE,1,8,0,2,6,0,0,5,83
1744,1001302,2008.11.4 21:55,2009.8.25 14:58,https://android-review.googlesource.com/1744,refs/heads/master,platform/dalvik,Abandoned,6,0,0,2,1,1,FALSE,1,1,0,0,1,0,0,1,0
1745,1001302,2008.11.4 21:55,2009.8.25 14:24,https://android-review.googlesource.com/1745,refs/heads/master,platform/frameworks/base,Abandoned,2,0,0,1,1,1,FALSE,1,6,0,1,5,0,0,7,67
1746,1001302,2008.11.4 21:55,2009.8.25 21:04,https://android-review.googlesource.com/1746,refs/heads/master,platform/system/core,Abandoned,3,0,0,1,0,0,FALSE,1,2,5,0,2,0,0,1,49
1747,1000866,2008.11.4 23:14,2008.11.5 4:02,https://android-review.googlesource.com/1747,refs/heads/android-msm-2.6.25,kernel/msm,Abandoned,3,1,0,1,1,1,FALSE,1,0,0,0,0,0,0,0,0
1748,1000866,2008.11.4 23:36,2008.11.5 23:58,https://android-review.googlesource.com/1748,refs/heads/android-msm-htc-2.6.25,kernel/msm,Abandoned,4,1,0,2,1,1,FALSE,1,1,0,0,1,0,0,3,0
1749,1000866,2008.11.4 23:36,2008.11.5 4:20,https://android-review.googlesource.com/1749,refs/heads/android-msm-htc-2.6.25,kernel/msm,Abandoned,3,1,0,1,1,1,FALSE,1,1,0,0,1,0,0,0,62
1750,1001211,2008.11.4 23:59,2008.11.5 0:01,https://android-review.googlesource.com/1750,refs/heads/master,platform/external/opencore,Merged,1,0,0,0,0,0,FALSE,1,7,0,7,0,0,0,0,0
1927,1001174,2008.11.5 17:34,2009.3.11 21:41,https://android-review.googlesource.com/1927,refs/heads/android-msm-htc-2.6.25,kernel/msm,Abandoned,2,0,0,1,0,0,FALSE,1,2,2,0,2,0,0,21,51
1928,1001174,2008.11.5 17:34,2009.3.11 21:41,https://android-review.googlesource.com/1928,refs/heads/android-msm-htc-2.6.25,kernel/msm,Abandoned,2,0,0,1,1,1,FALSE,1,1,0,0,1,0,0,12,0
1929,1001174,2008.11.5 17:34,2009.3.11 21:41,https://android-review.googlesource.com/1929,refs/heads/android-msm-htc-2.6.25,kernel/msm,Abandoned,1,0,0,0,0,0,FALSE,1,2,0,0,2,0,0,521,357
1762,1001174,2008.11.5 17:34,2009.3.11 21:41,https://android-review.googlesource.com/1762,refs/heads/android-msm-htc-2.6.25,kernel/msm,Abandoned,2,0,0,1,1,1,FALSE,1,1,0,0,1,0,0,1,1
1774,1000866,2008.11.6 1:33,2008.11.6 6:36,https://android-review.googlesource.com/1774,refs/heads/master,platform/bionic,Merged,2,1,0,1,1,1,FALSE,1,1,0,0,1,0,0,7,9
1776,1000866,2008.11.6 1:34,2008.11.6 6:38,https://android-review.googlesource.com/1776,refs/heads/master,platform/hardware/msm7k,Merged,2,1,0,1,1,1,FALSE,1,4,0,4,0,0,0,0,2798
1941,1000866,2008.11.6 1:41,2008.11.6 6:46,https://android-review.googlesource.com/1941,refs/heads/master,platform/system/wlan/ti,Merged,2,1,0,1,1,1,FALSE,1,1,0,0,1,0,0,1,1
1783,1001163,2008.11.6 3:07,2008.11.7 1:23,https://android-review.googlesource.com/1783,refs/heads/master,platform/vendor/htc/dream-open,Abandoned,2,1,0,1,1,1,FALSE,1,2,0,0,2,0,0,0,4
1786,1001240,2008.11.6 16:27,2008.11.13 5:47,https://android-review.googlesource.com/1786,refs/heads/master,platform/manifest,Merged,4,1,0,1,1,1,FALSE,1,1,0,0,1,0,0,1,1
1953,1001240,2008.11.6 16:27,2008.11.13 5:47,https://android-review.googlesource.com/1953,refs/heads/master,platform/manifest,Merged,5,1,0,1,1,1,FALSE,1,1,0,0,1,0,0,262,29
1955,1001240,2008.11.6 16:36,2008.11.14 20:56,https://android-review.googlesource.com/1955,refs/heads/release-1.0,platform/manifest,Merged,5,1,0,1,1,1,FALSE,1,1,0,0,1,0,0,4,0
1789,1001240,2008.11.6 16:36,2008.11.14 20:56,https://android-review.googlesource.com/1789,refs/heads/cdma-import,platform/manifest,Merged,5,1,0,1,1,1,FALSE,1,1,0,0,1,0,0,13,1
1974,1000866,2008.11.6 22:34,2008.11.6 23:07,https://android-review.googlesource.com/1974,refs/heads/master,platform/vendor/htc/dream-open,Merged,2,1,0,1,1,1,FALSE,1,2,0,1,1,0,0,0,0
2417,1001302,2008.11.7 2:15,2009.8.25 17:05,https://android-review.googlesource.com/2417,refs/heads/master,platform/build,Abandoned,4,0,0,2,1,1,FALSE,1,1,3,0,1,0,0,1,11
2418,1001302,2008.11.7 2:15,2009.11.21 4:31,https://android-review.googlesource.com/2418,refs/heads/master,platform/build,Abandoned,4,0,1,3,1,1,FALSE,2,1,0,0,1,0,0,0,5
1981,1001302,2008.11.7 2:15,2009.3.5 21:14,https://android-review.googlesource.com/1981,refs/heads/master,platform/external/elfutils,Merged,6,1,1,3,1,1,FALSE,2,3,0,1,2,0,0,1,79
2419,1001302,2008.11.7 2:15,2009.8.25 17:52,https://android-review.googlesource.com/2419,refs/heads/master,platform/external/qemu,Abandoned,4,0,0,1,0,0,FALSE,1,5,3,1,4,0,0,2,31
2420,1001302,2008.11.7 2:15,2008.11.12 15:43,https://android-review.googlesource.com/2420,refs/heads/master,platform/external/srec,Merged,1,1,1,1,1,1,FALSE,1,2,0,0,2,0,0,6,17
1982,1001302,2008.11.7 2:15,2009.8.25 14:24,https://android-review.googlesource.com/1982,refs/heads/master,platform/frameworks/base,Abandoned,2,0,0,1,1,1,FALSE,1,6,0,1,5,0,0,7,67
1983,1001302,2008.11.7 2:15,2008.11.12 15:49,https://android-review.googlesource.com/1983,refs/heads/master,platform/system/core,Merged,1,1,1,1,1,1,FALSE,1,2,0,0,2,0,0,2,22
2421,1001302,2008.11.7 2:15,2009.8.25 17:14,https://android-review.googlesource.com/2421,refs/heads/master,platform/system/core,Abandoned,3,1,0,3,1,1,FALSE,1,3,15,2,1,0,0,0,698
2422,1000973,2008.11.7 10:50,2009.8.26 17:14,https://android-review.googlesource.com/2422,refs/heads/master,platform/development,Merged,9,1,1,4,1,2,FALSE,3,3,0,0,3,0,0,0,38
1986,1001302,2008.11.7 15:25,2009.8.25 17:52,https://android-review.googlesource.com/1986,refs/heads/master,platform/external/qemu,Abandoned,4,1,1,3,1,2,FALSE,1,4,0,1,3,0,0,2,31
1988,1001302,2008.11.7 15:49,2009.8.25 16:25,https://android-review.googlesource.com/1988,refs/heads/master,platform/build,Abandoned,1,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,0,0
1989,1001302,2008.11.7 15:49,2009.8.25 16:25,https://android-review.googlesource.com/1989,refs/heads/master,platform/frameworks/base,Abandoned,3,0,0,1,0,0,FALSE,1,0,0,0,0,0,0,0,0
2429,1001302,2008.11.9 0:09,2009.9.4 16:12,https://android-review.googlesource.com/2429,refs/heads/master,platform/build,Abandoned,5,0,0,4,0,0,FALSE,2,3,3,0,3,0,0,0,6
1991,1001302,2008.11.9 0:09,2008.12.4 1:01,https://android-review.googlesource.com/1991,refs/heads/master,platform/external/iptables,Merged,4,1,1,2,2,2,FALSE,1,1,0,0,1,0,0,1,1
1992,1001302,2008.11.9 0:09,2009.8.25 16:55,https://android-review.googlesource.com/1992,refs/heads/master,platform/external/sqlite,Abandoned,5,1,1,2,2,2,FALSE,1,1,0,0,1,0,0,1,4
1993,1001302,2008.11.9 0:09,2009.8.25 15:18,https://android-review.googlesource.com/1993,refs/heads/master,platform/external/srec,Abandoned,2,0,0,1,1,1,FALSE,1,1,0,0,1,0,0,2,4
1994,1001302,2008.11.9 0:09,2009.8.25 16:53,https://android-review.googlesource.com/1994,refs/heads/master,platform/external/yaffs2,Abandoned,4,0,0,3,2,2,FALSE,1,1,0,0,1,0,0,1,1
1995,1001302,2008.11.9 0:09,2009.9.9 2:01,https://android-review.googlesource.com/1995,refs/heads/master,platform/frameworks/base,Abandoned,5,0,0,3,1,1,FALSE,2,1,0,0,1,0,0,0,3
2430,1001302,2008.11.9 1:05,2008.11.10 20:15,https://android-review.googlesource.com/2430,refs/heads/master,platform/development,Merged,3,1,1,1,1,1,FALSE,1,1,0,0,1,0,0,1,1
1998,1001446,2008.11.9 18:10,2008.11.18 15:20,https://android-review.googlesource.com/1998,refs/heads/master,platform/external/opencore,Merged,4,1,1,2,2,2,FALSE,1,1,0,0,1,0,0,1,3
2601,1001223,2008.11.9 19:08,2009.11.9 22:49,https://android-review.googlesource.com/2601,refs/heads/master,platform/development,Abandoned,5,0,1,5,0,1,FALSE,2,1,0,0,1,0,0,0,4
2602,1001223,2008.11.9 19:08,2009.11.9 22:48,https://android-review.googlesource.com/2602,refs/heads/master,platform/development,Abandoned,4,0,0,4,0,0,FALSE,2,1,0,1,0,0,0,0,64
